ID_SERVICIO;DURACION;HORAINICIO;DIA;ID_IPS;CAPACIDAD;CANCELADA;CAPACIDADMAX
Consulta dolor cardiaco;16;2:13:52;20/10/2017 02:08:42;IPS205;14;0;50
Consultas medicas con especialistas;33;3:18:03;20/01/2014 12:26:36;IPS489;14;0;50
Consultas medicas con especialistas;32;12:00:13;31/08/2012 09:08:50;IPS272;14;0;50
Cirugía de corazón;31;12:28:16;04/08/2011 12:50:11;IPS205;14;0;50
Cirugía de corazón;36;9:34:16;17/05/2017 10:18:40;IPS213;14;0;50
Consultas medicas con especialistas;28;9:03:14;06/03/2012 01:51:24;IPS80;14;0;50
Consulta progreso de diabetes;16;8:59:11;08/04/2014 03:20:42;IPS68;14;0;50
Consultas medicas con medico general;19;12:14:04;14/05/2013 12:14:16;IPS28;14;0;50
Consulta progreso de diabetes;22;5:21:20;11/01/2015 06:58:00;IPS291;14;0;50
Cirugía de corazón;25;2:36:30;06/12/2009 08:01:13;IPS252;14;0;50
Consultas medicas con especialistas;26;7:26:22;31/03/2010 08:22:14;IPS49;14;0;50
Consulta progreso de diabetes;21;12:41:52;16/02/2017 01:33:33;IPS473;14;0;50
Consulta malestar general;25;12:14:12;11/08/2019 06:00:43;IPS91;14;0;50
Cirugía de corazón;44;8:20:55;23/06/2012 08:09:29;IPS32;14;0;50
Consulta malestar general;36;10:15:39;16/07/2012 12:01:04;IPS440;14;0;50
Examenes de sangre;40;10:47:08;15/01/2017 01:47:23;IPS189;14;0;50
Jornadas de vacunacion;21;3:54:56;13/05/2018 07:40:25;IPS31;14;0;50
Consultas odontologicas;38;3:50:27;05/02/2014 09:40:21;IPS437;14;0;50
Remisión cardiólogo;36;12:24:26;18/10/2012 08:05:08;IPS143;14;0;50
Examen de sangre;43;12:32:25;31/05/2016 05:06:04;IPS89;14;0;50
Consultas odontologicas;40;5:47:08;05/12/2016 02:04:20;IPS390;14;0;50
Hospitalización por infarto;45;7:08:58;06/04/2016 04:19:57;IPS31;14;0;50
Consulta dolor cardiaco;17;4:35:56;27/08/2014 04:09:26;IPS424;14;0;50
Consulta progreso de diabetes;20;5:20:59;29/04/2018 07:34:31;IPS422;14;0;50
Consultas odontologicas;34;4:44:49;14/01/2015 06:34:17;IPS229;14;0;50
Consulta progreso de diabetes;36;6:42:24;28/02/2014 10:51:08;IPS335;14;0;50
Hospitalización por infarto;20;7:54:13;12/05/2014 03:16:48;IPS1;14;0;50
Examenes de sangre;40;8:00:10;22/10/2010 11:30:21;IPS122;14;0;50
Jornadas de vacunacion;15;8:06:29;08/12/2011 08:50:23;IPS342;14;0;50
Consultas medicas con medico general;29;10:27:51;19/08/2017 07:28:44;IPS19;14;0;50
Hospitalización por infarto;31;10:22:28;25/02/2018 06:29:46;IPS377;14;0;50
Hospitalización por infarto;38;2:45:01;04/03/2019 12:09:36;IPS82;14;0;50
Jornadas de vacunacion;30;5:52:13;07/11/2017 02:35:22;IPS94;14;0;50
Consultas odontologicas;15;2:35:27;02/02/2019 03:24:31;IPS399;14;0;50
Examenes de sangre;42;8:00:26;07/05/2017 03:12:58;IPS497;14;0;50
Consultas medicas con medico general;21;12:41:24;01/07/2019 07:18:23;IPS295;14;0;50
Consultas odontologicas;29;12:15:06;08/06/2011 01:59:14;IPS185;14;0;50
Consulta progreso de diabetes;28;6:26:54;04/02/2013 10:28:42;IPS334;14;0;50
Jornadas de vacunacion;26;5:36:26;31/10/2014 12:12:01;IPS164;14;0;50
Consulta progreso de diabetes;38;2:45:50;05/09/2014 01:40:16;IPS247;14;0;50
Consultas odontologicas;20;7:15:59;05/10/2019 10:41:41;IPS201;14;0;50
Consulta malestar general;25;10:26:39;16/10/2010 12:12:08;IPS412;14;0;50
Consultas medicas con especialistas;30;10:07:01;04/07/2011 07:51:04;IPS298;14;0;50
Consulta progreso de diabetes;37;7:34:19;18/11/2018 01:17:52;IPS284;14;0;50
Hospitalización por infarto;18;7:55:09;08/12/2018 01:47:51;IPS32;14;0;50
