ID_MEDICO,ID_IPS
850000,IPS105
850001,IPS209
850002,IPS447
850003,IPS223
850004,IPS216
850005,IPS357
850006,IPS116
850007,IPS226
850008,IPS66
850009,IPS253
850010,IPS187
850011,IPS293
850012,IPS497
850013,IPS322
850014,IPS500
850015,IPS276
850016,IPS19
850017,IPS336
850018,IPS28
850019,IPS23
850020,IPS231
850021,IPS72
850022,IPS340
850023,IPS378
850024,IPS352
850025,IPS256
850026,IPS390
850027,IPS182
850028,IPS120
850029,IPS56
850030,IPS283
850031,IPS231
850032,IPS28
850033,IPS374
850034,IPS374
850035,IPS277
850036,IPS85
850037,IPS423
850038,IPS91
850039,IPS59
850040,IPS296
850041,IPS244
850042,IPS31
850043,IPS25
850044,IPS263
850045,IPS283
850046,IPS185
850047,IPS404
850048,IPS189
850049,IPS437
850050,IPS440
850051,IPS118
850052,IPS483
850053,IPS111
850054,IPS65
850055,IPS248
850056,IPS297
850057,IPS404
850058,IPS86
850059,IPS253
850060,IPS494
850061,IPS161
850062,IPS168
850063,IPS405
850064,IPS457
850065,IPS86
850066,IPS153
850067,IPS463
850068,IPS318
850069,IPS73
850070,IPS202
850071,IPS474
850072,IPS500
850073,IPS237
850074,IPS472
850075,IPS367
850076,IPS121
850077,IPS38
850078,IPS239
850079,IPS13
850080,IPS471
850081,IPS69
850082,IPS497
850083,IPS171
850084,IPS116
850085,IPS290
850086,IPS74
850087,IPS164
850088,IPS496
850089,IPS112
850090,IPS7
850091,IPS201
850092,IPS198
850093,IPS475
850094,IPS48
850095,IPS31
850096,IPS313
850097,IPS241
850098,IPS427
850099,IPS69
850100,IPS251
850101,IPS344
850102,IPS425
850103,IPS9
850104,IPS413
850105,IPS86
850106,IPS351
850107,IPS151
850108,IPS147
850109,IPS330
850110,IPS385
850111,IPS297
850112,IPS443
850113,IPS146
850114,IPS490
850115,IPS91
850116,IPS138
850117,IPS193
850118,IPS234
850119,IPS133
850120,IPS392
850121,IPS164
850122,IPS183
850123,IPS307
850124,IPS360
850125,IPS223
850126,IPS237
850127,IPS343
850128,IPS479
850129,IPS259
850130,IPS127
850131,IPS283
850132,IPS407
850133,IPS48
850134,IPS380
850135,IPS455
850136,IPS2
850137,IPS48
850138,IPS493
850139,IPS133
850140,IPS19
850141,IPS212
850142,IPS38
850143,IPS241
850144,IPS456
850145,IPS420
850146,IPS314
850147,IPS243
850148,IPS489
850149,IPS190
850150,IPS136
850151,IPS57
850152,IPS40
850153,IPS477
850154,IPS406
850155,IPS468
850156,IPS144
850157,IPS220
850158,IPS435
850159,IPS243
850160,IPS248
850161,IPS38
850162,IPS121
850163,IPS192
850164,IPS36
850165,IPS287
850166,IPS384
850167,IPS155
850168,IPS416
850169,IPS100
850170,IPS217
850171,IPS412
850172,IPS100
850173,IPS480
850174,IPS28
850175,IPS91
850176,IPS462
850177,IPS281
850178,IPS491
850179,IPS45
850180,IPS213
850181,IPS74
850182,IPS44
850183,IPS81
850184,IPS500
850185,IPS48
850186,IPS136
850187,IPS434
850188,IPS489
850189,IPS1
850190,IPS317
850191,IPS401
850192,IPS255
850193,IPS312
850194,IPS59
850195,IPS258
850196,IPS137
850197,IPS97
850198,IPS436
850199,IPS109
850200,IPS386
850201,IPS385
850202,IPS427
850203,IPS259
850204,IPS8
850205,IPS277
850206,IPS246
850207,IPS207
850208,IPS446
850209,IPS28
850210,IPS294
850211,IPS330
850212,IPS258
850213,IPS390
850214,IPS217
850215,IPS313
850216,IPS204
850217,IPS219
850218,IPS127
850219,IPS331
850220,IPS173
850221,IPS468
850222,IPS436
850223,IPS247
850224,IPS180
850225,IPS470
850226,IPS493
850227,IPS182
850228,IPS321
850229,IPS400
850230,IPS194
850231,IPS154
850232,IPS84
850233,IPS426
850234,IPS317
850235,IPS126
850236,IPS466
850237,IPS439
850238,IPS432
850239,IPS218
850240,IPS448
850241,IPS387
850242,IPS296
850243,IPS433
850244,IPS277
850245,IPS342
850246,IPS443
850247,IPS21
850248,IPS284
850249,IPS233
850250,IPS306
850251,IPS264
850252,IPS390
850253,IPS95
850254,IPS82
850255,IPS127
850256,IPS469
850257,IPS403
850258,IPS106
850259,IPS76
850260,IPS23
850261,IPS448
