ID_MEDICO,ID_SERVICIO
850000,Radiografias
850001,Consultas medicas con medico general
850002,Remisión cardiólogo
850003,Examen de sangre
850004,Cirugía de corazón
850005,Consultas odontologicas
850006,Consulta malestar general
850007,Jornadas de vacunacion
850008,Hospitalización por infarto
850009,Cirugía de corazón
850010,Consulta progreso de diabetes
850011,Consultas odontologicas
850012,Cirugía de corazón
850013,Consulta progreso de diabetes
850014,Hospitalización por infarto
850015,Consulta progreso de diabetes
850016,Remisión cardiólogo
850017,Remisión cardiólogo
850018,Examen de sangre
850019,Consultas medicas con medico general
850020,Consulta progreso de diabetes
850021,Radiografias
850022,Consulta progreso de diabetes
850023,Consulta dolor cardiaco
850024,Consultas odontologicas
850025,Jornadas de vacunacion
850026,Consulta malestar general
850027,Consultas medicas con medico general
850028,Consultas medicas con especialistas
850029,Consultas medicas con especialistas
850030,Consulta malestar general
850031,Consulta malestar general
850032,Consulta dolor cardiaco
850033,Remisión cardiólogo
850034,Remisión cardiólogo
850035,Terapia post traumática
850036,Terapia post traumática
850037,Radiografias
850038,Examen de sangre
850039,Jornadas de vacunacion
850040,Consulta dolor cardiaco
850041,Consultas odontologicas
850042,Consulta progreso de diabetes
850043,Consultas odontologicas
850044,Consulta malestar general
850045,Consultas medicas con especialistas
850046,Consultas odontologicas
850047,Terapia post traumática
850048,Hospitalización por infarto
850049,Consultas medicas con especialistas
850050,Cirugía de corazón
850051,Examenes de sangre
850052,Cirugía de corazón
850053,Cirugía de corazón
850054,Jornadas de vacunacion
850055,Consulta dolor cardiaco
850056,Examen de sangre
850057,Examenes de sangre
850058,Consultas medicas con especialistas
850059,Consultas medicas con medico general
850060,Hospitalización por infarto
850061,Radiografias
850062,Terapia post traumática
850063,Hospitalización por infarto
850064,Examen de sangre
850065,Consulta dolor cardiaco
850066,Hospitalización por infarto
850067,Consulta progreso de diabetes
850068,Consultas medicas con especialistas
850069,Radiografias
850070,Consulta malestar general
850071,Terapia post traumática
850072,Consultas medicas con especialistas
850073,Examen de sangre
850074,Terapia post traumática
850075,Examen de sangre
850076,Examen de sangre
850077,Jornadas de vacunacion
850078,Consultas odontologicas
850079,Consultas medicas con medico general
850080,Cirugía de corazón
850081,Jornadas de vacunacion
850082,Examen de sangre
850083,Remisión cardiólogo
850084,Examen de sangre
850085,Jornadas de vacunacion
850086,Consulta malestar general
850087,Hospitalización por infarto
850088,Terapia post traumática
850089,Consultas medicas con medico general
850090,Examen de sangre
850091,Jornadas de vacunacion
850092,Examen de sangre
850093,Hospitalización por infarto
850094,Consultas medicas con medico general
850095,Remisión cardiólogo
850096,Consultas medicas con especialistas
850097,Consultas medicas con medico general
850098,Cirugía de corazón
850099,Jornadas de vacunacion
850100,Terapia post traumática
850101,Consulta dolor cardiaco
850102,Cirugía de corazón
850103,Consulta progreso de diabetes
850104,Radiografias
850105,Consultas medicas con especialistas
850106,Consulta dolor cardiaco
850107,Consulta malestar general
850108,Hospitalización por infarto
850109,Terapia post traumática
850110,Consulta dolor cardiaco
850111,Radiografias
850112,Examenes de sangre
850113,Consulta progreso de diabetes
850114,Cirugía de corazón
850115,Cirugía de corazón
850116,Consultas odontologicas
850117,Hospitalización por infarto
850118,Consultas medicas con medico general
850119,Examen de sangre
850120,Consulta malestar general
850121,Examen de sangre
850122,Hospitalización por infarto
850123,Consultas odontologicas
850124,Consultas medicas con especialistas
850125,Remisión cardiólogo
850126,Examen de sangre
850127,Radiografias
850128,Consultas medicas con medico general
850129,Jornadas de vacunacion
850130,Consulta malestar general
850131,Examen de sangre
850132,Terapia post traumática
850133,Cirugía de corazón
850134,Radiografias
850135,Examenes de sangre
850136,Remisión cardiólogo
